
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 68/98 clients
  [Client 85] Round 1 | loss=1.6721 | time=1.5s
  [Client 67] Round 1 | loss=1.6582 | time=1.5s
  [Client 51] Round 1 | loss=1.5163 | time=0.3s
  [Client 71] Round 1 | loss=1.6571 | time=0.6s
  [Client 99] Round 1 | loss=1.8839 | time=2.0s
  [Client 47] Round 1 | loss=1.7806 | time=1.2s
  [Client 97] Round 1 | loss=1.7438 | time=1.0s
  [Client 66] Round 1 | loss=1.8473 | time=1.1s
  [Client 55] Round 1 | loss=1.8310 | time=0.9s
  [Client  4] Round 1 | loss=1.9433 | time=1.2s
  [Client  6] Round 1 | loss=1.8477 | time=0.5s
  [Client 88] Round 1 | loss=1.8445 | time=9.7s
  [Client 91] Round 1 | loss=1.7592 | time=0.5s
  [Client 17] Round 1 | loss=1.8407 | time=0.3s
  [Client 42] Round 1 | loss=1.8462 | time=0.7s
  [Client 58] Round 1 | loss=1.7196 | time=0.6s
  [Client 57] Round 1 | loss=1.6058 | time=0.9s
  [Client 26] Round 1 | loss=1.8973 | time=0.9s
  [Client 90] Round 1 | loss=1.9407 | time=0.9s
  [Client 22] Round 1 | loss=1.8235 | time=0.7s
  [Client 73] Round 1 | loss=1.9675 | time=1.0s
  [Client 38] Round 1 | loss=1.8587 | time=0.2s
  [Client 62] Round 1 | loss=1.5960 | time=1.3s
  [Client 49] Round 1 | loss=1.8439 | time=0.8s
  [Client 28] Round 1 | loss=1.7810 | time=9.8s
  [Client 69] Round 1 | loss=1.8682 | time=1.4s
  [Client 72] Round 1 | loss=1.7984 | time=1.6s
  [Client  3] Round 1 | loss=1.7197 | time=1.4s
  [Client  7] Round 1 | loss=1.7946 | time=0.3s
  [Client  8] Round 1 | loss=1.6863 | time=1.1s
  [Client 65] Round 1 | loss=1.6543 | time=0.4s
  [Client 53] Round 1 | loss=1.7530 | time=0.8s
  [Client 33] Round 1 | loss=1.7358 | time=1.4s
  [Client 44] Round 1 | loss=1.3608 | time=1.0s
  [Client  2] Round 1 | loss=1.6367 | time=0.8s
  [Client  1] Round 1 | loss=1.7743 | time=0.5s
  [Client 21] Round 1 | loss=1.7573 | time=0.4s
  [Client 16] Round 1 | loss=1.9007 | time=0.8s
  [Client 87] Round 1 | loss=1.6617 | time=0.6s
  [Client 80] Round 1 | loss=1.7675 | time=0.6s
  [Client 81] Round 1 | loss=1.6542 | time=0.7s
  [Client 10] Round 1 | loss=1.7284 | time=1.0s
  [Client 32] Round 1 | loss=1.6967 | time=0.8s
  [Client 83] Round 1 | loss=1.8276 | time=1.6s
  [Client 54] Round 1 | loss=1.9021 | time=1.2s
  [Client 78] Round 1 | loss=1.4602 | time=1.3s
  [Client 70] Round 1 | loss=2.0302 | time=0.3s
  [Client 63] Round 1 | loss=1.7687 | time=0.8s
  [Client 89] Round 1 | loss=1.8812 | time=0.6s
  [Client 50] Round 1 | loss=1.9752 | time=1.6s
  [Client 92] Round 1 | loss=1.6411 | time=0.7s
  [Client 96] Round 1 | loss=1.7768 | time=0.9s
  [Client  9] Round 1 | loss=1.8659 | time=0.8s
  [Client 64] Round 1 | loss=1.5987 | time=0.3s
  [Client 76] Round 1 | loss=1.9439 | time=0.8s
  [Client 11] Round 1 | loss=1.7269 | time=0.8s
  [Client 75] Round 1 | loss=1.9587 | time=0.6s
  [Client 98] Round 1 | loss=1.8041 | time=0.9s
  [Client 24] Round 1 | loss=1.7272 | time=1.7s
  [Client 94] Round 1 | loss=1.7135 | time=9.1s
  [Client 52] Round 1 | loss=1.7582 | time=0.5s
  [Client 48] Round 1 | loss=1.5643 | time=1.3s
  [Client 39] Round 1 | loss=2.3898 | time=0.5s
  [Client 41] Round 1 | loss=2.0325 | time=0.8s
  [Client 84] Round 1 | loss=1.7361 | time=0.9s
  [Edge 0] G-Round 1 | E-Round 5 | loss=1.7708
  [Edge 1] G-Round 1 | E-Round 1 | Selected 1/2 clients
  [Client  5] Round 1 | loss=1.2236 | time=10.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.2236
  [Edge 1] G-Round 1 | E-Round 2 | Selected 1/2 clients
  [Client 31] Round 1 | loss=1.0308 | time=13.0s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.0308
  [Edge 1] G-Round 1 | E-Round 3 | Selected 1/2 clients
  [Client  5] Round 1 | loss=1.2715 | time=0.7s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.2715
  [Edge 1] G-Round 1 | E-Round 4 | Selected 1/2 clients
  [Client  5] Round 1 | loss=1.1698 | time=0.7s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.1698
  [Edge 1] G-Round 1 | E-Round 5 | Selected 1/2 clients
  [Client  5] Round 1 | loss=1.1291 | time=0.7s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.1291
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.1445 | loss=2.4323 | time=1274.0s | comm=10528.1MB (total=10528MB)

[Round   2] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 2 | E-Round 1 | Selected 68/98 clients
  [Client 38] Round 2 | loss=1.6971 | time=0.2s
  [Client 83] Round 2 | loss=1.7825 | time=1.6s
  [Client 28] Round 2 | loss=1.7197 | time=0.9s
  [Client 95] Round 2 | loss=1.3557 | time=0.8s
  [Client 96] Round 2 | loss=1.7858 | time=0.9s
  [Client 67] Round 2 | loss=1.6408 | time=1.5s
  [Client  1] Round 2 | loss=1.6216 | time=0.5s
  [Client  8] Round 2 | loss=1.6823 | time=1.1s
  [Client 36] Round 2 | loss=1.3293 | time=1.1s
  [Client 57] Round 2 | loss=1.7471 | time=0.9s
  [Client 86] Round 2 | loss=1.8877 | time=0.4s
  [Client 48] Round 2 | loss=1.5356 | time=1.3s
  [Client 79] Round 2 | loss=1.8422 | time=1.1s
  [Client 16] Round 2 | loss=1.7816 | time=0.8s
  [Client 56] Round 2 | loss=1.7558 | time=0.9s
  [Client 18] Round 2 | loss=1.8536 | time=1.6s
  [Client 80] Round 2 | loss=1.7572 | time=0.6s
  [Client 74] Round 2 | loss=1.5456 | time=0.8s
  [Client 64] Round 2 | loss=1.7244 | time=0.3s
  [Client 85] Round 2 | loss=1.5344 | time=1.5s
  [Client 99] Round 2 | loss=1.8244 | time=2.0s
  [Client 65] Round 2 | loss=1.5381 | time=0.4s
  [Client 84] Round 2 | loss=1.6604 | time=0.9s
  [Client 37] Round 2 | loss=1.7150 | time=1.4s
  [Client 34] Round 2 | loss=1.5351 | time=1.1s
  [Client 27] Round 2 | loss=1.3493 | time=1.8s
  [Client  6] Round 2 | loss=1.6854 | time=0.5s
  [Client 69] Round 2 | loss=1.8745 | time=1.4s
  [Client 81] Round 2 | loss=1.7088 | time=0.7s
  [Client 17] Round 2 | loss=2.0657 | time=0.3s
  [Client 66] Round 2 | loss=1.7976 | time=1.1s
  [Client 11] Round 2 | loss=1.6641 | time=0.7s
  [Client 29] Round 2 | loss=1.5339 | time=2.2s
  [Client 12] Round 2 | loss=1.5734 | time=0.6s
  [Client 54] Round 2 | loss=1.8887 | time=1.2s
  [Client 10] Round 2 | loss=1.7572 | time=1.0s
  [Client 35] Round 2 | loss=1.5125 | time=0.8s
  [Client 30] Round 2 | loss=1.5057 | time=0.7s
  [Client 24] Round 2 | loss=1.6171 | time=1.7s
  [Client 23] Round 2 | loss=1.8046 | time=0.6s
  [Client 20] Round 2 | loss=1.3841 | time=1.0s
  [Client 25] Round 2 | loss=1.7497 | time=1.0s
  [Client 51] Round 2 | loss=1.3306 | time=0.3s
  [Client  0] Round 2 | loss=1.7789 | time=1.0s
  [Client 19] Round 2 | loss=1.1821 | time=1.7s
  [Client 26] Round 2 | loss=1.5917 | time=0.9s
  [Client 49] Round 2 | loss=1.8785 | time=0.8s
  [Client 50] Round 2 | loss=1.8914 | time=1.6s
  [Client 76] Round 2 | loss=1.8848 | time=0.8s
  [Client 77] Round 2 | loss=1.3280 | time=0.7s
  [Client 41] Round 2 | loss=1.8736 | time=0.8s
  [Client 15] Round 2 | loss=1.5472 | time=1.4s
